S.No,Commentor name,Comment,Dislike,Insulting,Neutral,Supporting,Meaningless, Class
461,Michael Felstead,@prithvi raj 2 .....or 12 years,,,,1,,1
462,Lydia Hendron,No wonder !!!<br>This from a guy that actually asked a homeless guy where he stays ðŸ˜¡ðŸ˜¡<br>Absolutely clueless !!!!,,,,,1,1
463,achoice2bmade,Because he spoke...,1,,,,,0
464,barry gratton,What a TOSSER,,1,,,,0
465,bill howie,His 5 Pledges should have been 6 And it should have been the first pledge ( Social Care plan ) Where is Boris Plan. Utter Nonsense trying to make himself look  like he really cares .,,,,1,,1
466,Felipe Wilshaw,Ridiculous character,1,,,,,0
467,David C,"Just wait till the Brexit bill goes through U.K. workers lose their right to holiday pay, a right to a safe work place.",1,,,,,0
468,Jona Rain,Like watching a uni class leader speech,,,,1,,1
469,Ladynipchick2,Just said similar above!,1,,,,,0
470,Josh,All bollocks ðŸ˜‚,,1,,,,0
471,R W,Not even Conservative voters like Rishi,,1,,,,0
472,Stephen Norman,Nice cheep words,,1,,,,0
473,pipflip28,Not My PM.,,1,,,,0
474,Adam Brickley,Mute and to the comments....only way to deal with a tory speech.,1,,,,,0
475,Jona Rain,Eat the rich,,,,,1,1
476,Jona Rain,Evil,,,,,1,1
477,Joe,He shouldnâ€™t be making huge changes to education as he wasnâ€™t voted in by us.,,,1,,,1
478,Natalie Myers,Rishi was hibernating writing this garbage ðŸ—‘ï¸,,,1,,,1
479,Darth Rage,Dont worry about the future Rishi coz its gonna be Labor again in the government,1,,,,,0
480,Jean Lind,Labour,,1,,,,0
481,ned nutbeen,Tax your wife  get her close down  her business  in Russia   for start,,,1,,,1
482,James Scollen,"Forget boats, if they could &#39;find&#39; the money to stop the strikes and get the trains going again that&#39;d be great. This guy is so out of touch with reality...",1,,,,,0
483,Kris Rayna,Blah blah blah blah blah,,,,1,,1
484,Chris Viking,Not convinced. The UK&#39;s problems are too fundamental and deep-rooted and if nobody is prepared to pull up the roots then the problems will keep growing back.,,1,,,,0
485,Yavuz Hocaoglu,I am small bussines owner before paying 400 electricity bill now paying 1200 before gas bill 250 now 700 we are going very bad situation slowly slowly when goverment planing the touch small bussines????,,,,1,,1
486,sparrow_61,"That is what happens when your country has to pay for someone else&#39;s war. Funny how Liz Truss managed to get the utility companies to cap our bills, yet under Rishi, they are going up again this month. All to send to Ukraine amongst other things.",1,,,,,0
487,REFORMPARTYFORBRITS.,"If the torys want half a chance of being re elected they need to end illegal invaders landing here and those that do get here turn them round and escort them back to france  immediately , then kick all these para sitic illegals out of hotels, country  houses, b &amp; b&#39;s , holiday camps etc and use these places for our own homeless,,, then start making arrangements to send back ukranians , plenty of help across the water, should never have  come here. Shame on those that gave them a room while ignoring our own homeless people.",1,,,,,0
488,bode faith,UK! Peace be within thy walls and prosperity within thy palaces. Ps.122:7. Amen. God bless UK.,,1,,,,0
489,serdar mohammedi,What a load of crap,,1,,,,0
490,Maja Hayles,God save the UK!!!,1,,,,,0
491,niblet112,"Gods not here, just Freemasons bankers and a puppet government",,1,,,,0
492,Tommy Wozza,The UK is in this mess because they turned their backs on God,,1,,,,0
493,Cantorinese J,@Tommy Wozza More people need to hear this,1,,,,,0
494,the tireless crusader,I do not expect any words of wisdom from a Breixiteer<br>who has destroyed UK economy.,1,,,,,0
495,Earnest Equivocation,Will it be an even better country if your wife pulls her vast Russian investments.<br>Your bs about â€˜record investmentâ€™ in NHS is just that. Your Party is the most dishonest itâ€™s ever been and thatâ€™s saying something.,,1,,,,0
496,ahartify,He sounds like a 17-year-old drumming up support to be head prefect.,,1,,,,0
497,Ladynipchick2,Said similar!,1,,,,,0
498,paul michael richardson,words words words and f@ck all gets done,,,1,,,1
499,ian andrew,Serve food to the homeless and put 40.000 illeagle migrants in hotels<br>What a treasure hunt ðŸ¤¡,,,1,,,1
500,Jim Terras,"Listened for 12 minutes and never mentioned <a href=""http://www.youtube.com/results?search_query=%23brexit"">#Brexit</a> Once!!",1,,,,,0
501,Lena Wagenfuehr,Classic British denial...,,,1,,,1
502,UK LAD,Rishi Sunak - &#39;Greater investment in local areas&#39; ..Just like when he was caught on Video admitting taking money from deprived areas? ? ? come on ..whens he going to stop lying !!!!!!!,1,,,,,0
503,Anne McDonald,Hugely patronising,,,,,1,1
504,Aisling MCdonald,1k training budget??? He really is an out of touch multi millionaire ðŸ˜,,,,,1,1
505,Dave Morrison,What an absolute load of rubbish,1,,,,,0
506,Nubreed,Send them to Rwanda was a great policy by the way,,,,,1,1
507,Aisling MCdonald,"Sunak grew up in an NHS family?!!! He said he didn&#39;t mix with &#39;working class&#39;!! Diagnostics- billins to private entries, again!!",,,,,1,1
508,Malcolm Stockbridge,does anybody else feel an urgent need to vomit ?,,,,,1,1
509,Aisling MCdonald,"Local government adult services has been  decimated by tory cuts since 2010 and short term, hospital focused, funding. Social care IS NOT ABOUT ALTERNATIVES TO HOSPITAL TREATMENT!!!!",,,,,1,1
510,Jonathan Starkey,"Politicians today have lost the ability to lie convincingly, even to themselves. <br>Best I can say is this is a well rehearsed speech with the phrasing emphasis in all the right places. Starmer could have done the same speech. <br>Chance of change for the public good? <br>Slim to nothing without a drastic reset.",,,,,1,1
511,Ian Best,And Slims outta town,,,,,1,1
512,Richard Sanders,Fishi Ballsack...talking BS..!,,,,,1,1
513,UK LAD,David cameron went on about innovation ...13 years later ...LIES !!!!!!!!!,,,,,1,1
514,Darren Forster,The truth  is u are a con man,,,,,1,1
515,Ian Keeley,Don&#39;t trust him at all,,,,,1,1
516,Aisling MCdonald,He can&#39;t keep eye contact when facing questions from the media!! He is really bad at public delivery!,,,,,1,1
517,Edward Potter,Is he telling bed time stories ?,,,,,1,1
518,UK LAD,Rishi Sunak - &#39;we need change&#39;..Basically the entire reversal of woeful Tory missmanagements over the years...just bloody well resign!,,,,,1,1
519,Brian Livesey,Inflation will halve  without the tories doing anything at all. Inflation will come down anyway.,,,,,1,1
520,Jim Terras,Remember the mess we are in was mainly caused by the incompetence of the Conservatives who have been in power for 12 years and apparenbtly worse off than many of the rest of European Countries.,,,,,1,1
521,Darren Forster,Get this lieing horrible  man out,,,,,1,1
522,Brian Livesey,Is this the sunlit uplands of Borisland,,,,,1,1
523,Brian Livesey,It&#39;s apity that Liz Truss and her chancellor didn&#39;t pass the numeracy and skills test.,,,,,1,1
524,DR. HARAN Sivasambu,ðŸ˜,,,,,1,1
525,niblet112,The fact she beat him in a vote tells us all we need to know. Talk about scraping the bottom of the barrel.,,,,,1,1
526,trixos,Bro the only imagination and innovation going on is that the poor are poorer and &#39;key&#39; jobs are becoming completely undesirable by the whole UK population.,,,,,1,1
527,deborah maycock,What about the NHS mate...,,,,,1,1
528,niblet112,"Overwhelmed again, so get ready for lockdowns Chinas in the media again lol",,,,,1,1
529,Dean Meredith,Not our prime minister remove that man,,,,,1,1
530,Thrifty,This is the man who asked a homeless person if he worked in the city. So out of touch he is utterly useless,,,,,1,1
531,ysr789,No more plan please we already paying for your previous bogus plan of eat out to help out,,,,,1,1
532,One Love,"If hospitals don&#39;t have enough beds what about the hundreds of thousands of beds lying there never used in the nightingale hospitals , just use them surely",,,,,1,1
533,Richard Sanders,Illegal Channel Dashers..&quot;We Gonna Need A Bigger Boat&quot;..ðŸ˜¯,,,,,1,1
534,TeeFive10,Made me wonder where exactly did my old school brown briefcase end up?  toblerone shape with handle on top. Speech reminded me of &#39;How&#39;. 5 problems 5 solutions. How How How How How.......HOW!!!,,,,,1,1
535,Thrifty,Another vomit inducing speech,,,,,1,1
536,anon ymous,Well .. let&#39;s see but optimistic speech is always nice... its just let&#39;s do it ... NEVER GIVE UP.. we are British and made of good stuff .. im hopeful that things.. 2023 will be a better year .. Will we get thru it .. ov course.. Will it be hard .. most definitely.. but we will .and wats needed more than tjis is positivity and LOVE.. so BLACKCAT HACKERS UK ðŸ‡¬ðŸ‡§ ðŸŽ©Â®ï¸Â©ï¸âš˜ðŸ´ó §ó ¢ó ¥ó ®ó §ó ¿ IS watching closely xx,,,,,1,1
537,Terry Wogan,! LIAR !,1,,,,,0
538,K M G De Mortimer McIntosh,He&#39;s going to privatise the NHS.... He&#39;s going to clamp down on benefits..... He will cut public services .... He&#39;s going to force people out of local communities to work in hubs around the country..... He shares nothing with us ... He is a traitor and a bold face liar.,,,,,1,1
539,Samuel Bronner,Really happy heâ€™s going to help us all with math skills &amp; numeracy. Now we can actually calculate how much theyâ€™re screwing usâ¤,,,1,,,1
540,Silent Watch,This is so funnyðŸ¤£ðŸ¤£ðŸ¤£,1,,,,,0
541,Green Tea,Hes actually right the only way to improve the society is by improving the studyâ€™s,,,1,,,1
542,lewish_14(doctorwho),He ain&#39;t going to help. He&#39;s going to destroy lives. He&#39;s awful,1,,,,,0
543,Mohammed Usman,ðŸ˜†,1,,,,,0
544,MovieMad555,Love this,1,,,,,0
545,DR. HARAN Sivasambu,Large percentage too late for numeracy that is a reason social problem and economic collapse,,,1,,,1
546,Joseph Durham,Bullshit,1,,,,,0
547,Margaret Wilson,That&#39;s the spirit! c: Quantifying the screwed factor... courtesy of the Tories!,,1,,,,0
548,News they didnâ€™t tell us,@lewish_14(doctorwho) news flash ... it was already destroyed thanks to Boris. Rishy is coming in to finish it off,,,1,,,1
549,dr eggy,@News they didnâ€™t tell us how did borris destroy? Do explain .....,1,,,,,0
550,lewish_14(doctorwho),@News they didnâ€™t tell us with a stupid plan,,,,1,,1
551,Kevin Scott,No more money for the nurses just let them struggle itâ€™s time to call a general election,,,,1,,1
552,Thrifty,I wish he&#39;d just resign and call a general election.,,1,,,,0
553,witless wonder the 2nd,Canâ€™t take anyone seriously who is the double of Roland rat,,1,,,,0
554,Jay W,rushi what rubbish,,,,,1,1
555,FPV420,be gone soon thank god,,,1,,,1
556,John Power,All the credibility our nation could wish for ðŸ¥¸,1,,,,,0
557,bacon,Bot,,1,,,,0
558,the tireless crusader,"Any educated person who believes that there is strength in disunity is not educated at all.<br>Europeans&#39; unity lies in the EU and any effort to break that unity is tantamount to treason.<br>Now the UK is suffering economically and it will continue to suffer.<br>The degrees of Sunak, Boris and Farage should be used as toilet paper because their education did not make them critical thinkers.",,,,,1,1
559,Mayura Burton,"Give him a chance, all MP are the same and he is probably the best one so far",,1,,,,0
560,Michael Felstead,&quot;the best one so far&quot; ?.......thats a very low bar,1,,,,,0
561,SuperRJ80,Stop using your bias,,,,,1,1
562,Michael Felstead,"@SuperRJ80 I just  think we, the electorate,  deserve a lot better than what we are currently getting in terms of politicians in general....very few of them, especially tory ones, just seem to be journeymen or career politicans......take the current NHS crisis right now.....500 a day dying over xmas because of the problems....but the Cabinet just went home the 2nd week of December to enjoy the holidays and came back this week.....personally I think they should have been sorting this out over the holidays with emergency cabinet meetings.....maybe 500 deaths a day because of NHS underfunding is an acceptable number for those in power ?",,,,1,,1
563,Be Real,Ur deluded,,,1,,,1
564,Helen SH Lee,"Dun tell me what, explain to me how please.",,,,1,,1
565,KEEP Going,Heâ€™s telling us how they will smoke ðŸ’¨ us get ready peoples this game has just started ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,1,,,,,0
566,Omar Sockni,yawn.......corbyn was right about everything!,1,,,,,0
567,Kirra,"I thought it was good he got voted in. But he came across in this speech as not being genuine, almost like he was smiling while he was saying it. Like, he doesnâ€™t believe it himself, but he thinks thatâ€™s what people want to hear. ðŸ¤¨ No depth, no details, lol.",,,,,1,1
568,Jason,Embroidered  nuisance.,,1,,,,0
569,KingKong187911,Liar Liar your Countryâ€™s on FIRE ðŸ”¥,,,,1,,1
570,peter kirby,Sunaks 5 a day,,1,,,,0
571,KB,A more innovative economy<br>Safer streets<br>World class education<br>NHS built around patients<br><br>Seriously?! I canâ€™t watch thisâ€¦,1,,,,,0
572,Nasir Uddin,Where is he going to get the nurses and doctors from to do all of this?,,,,1,,1
573,Black Knight,"If we&#39;ll learn math, imaginary numbers will bring us imaginary nurses and doctors for sure.",1,,,,,0
574,David Devilliers,They are in the rubber boats arriving as he speaks,1,,,,,0
575,Nasir Uddin,"Take the red pill and get out of the Matrix! <a href=""http://www.youtube.com/results?search_query=%23topg"">#TopG</a>",1,,,,,0
576,LaSexyPetite,So how is he going to do this?,1,,,,,0
577,Jean Lind,Perhaps his none tax paying wife can help pay?,,1,,,,0
578,Sheila Divall,I don&#39;t believe a word that comes out of his mouth!!!!!...,,,,1,,1
579,Chris Tav,WEF boy that no one voted for.<br>Does anyone believe a word this snake says?,,,,,1,1
580,Road Runner,"Starmer and Sunak are the same, just different wings of the Uniparty IMO. They seem to be more interested in the ideas of Schwab and Gates than the wellbeing of the UK citizens. Generations of more of the same. We need real change like Reform UK.",,,,,1,1
581,K M G De Mortimer McIntosh,WEF WEF WEF wef wef wef.,,,1,,,1
582,Merton Sardeen,My calculations have concluded with the following.<br><br>We need 20 new x400 bed super care homes across the nation to help relieve pressures on A&amp;E hospitals.,,,1,,,1
583,A Smith,Jack of all trades master of none?,,,,,1,1
584,Jamie Watson,What a great advert for labour.,1,,,,,0
585,Sir Wal,ðŸ˜ƒðŸ˜ƒ,,,,,1,1
586,Tommy Wozza,Need to move on to new parties,,,,,1,1
587,Jamie Watson,@Tommy Wozza 100%,,,,,1,1
588,SD,Heâ€™s Promising So Much But Will Never Deliver Like Other PMâ€™s Who Lie For A Living. Whatâ€™s An Indian Immigrant Know About The British Population Absolutely Nothing. His Kind Make Us ðŸ¤®ðŸ‘Ž,,,,1,,1
589,Zach Austin-Humphries,"Here&#39;s a promise, keep going and your head will be on a stake alongside all your peers as Westminster burns.",,1,,,,0
590,Charlie Bryce,"Like all Tory promises and claims, it&#39;s all suffer now and jam tomorrow, but the jam never comes, only the suffering.",,,1,,,1
591,dr eggy,Same a labour both liers .,,,1,,,1
592,Yellow Belly,Did anyone actually vote for Rishi Ballsack to be prime minister ðŸ¤”,,1,,,,0
593,Darren Forster,No no no,,,1,,,1
594,alex smith,Pass the sick bucket.,,,,,1,1
595,Siad Ali,One two three four and five bold steps never seen before,,,,,1,1
596,Darren Phillips,All talk and no Action as usual,,,,,1,1
597,Josh,"I&#39;ve been saying this from the start, IR35 fucked this country",,1,,,,0
598,peter kirby,Our Prime Minister worth Â£800 million wonâ€™t be a drag on the NHS because he will never use it or his wife who gets Â£8 million a year from shares in a company operating in Moscow.,,,,,1,1
599,Paul Fulton,ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,1,,,,,0
600,Graeme Muir,"why do we even bother to listen anymore, we know hes a liar",,,,1,,1
601,craig Hendry,Sky censoring KGBeebies question. <br>Through the looking glass now old chap.,,1,,,,0
602,Charlie Bryce,Sunak&#39;s fist speech claimed he was going to govern with integrity!  How is that goingðŸ˜€ðŸ˜€ðŸ˜€,1,,,,,0
603,Random Guy,Colour of skin is a problem or his party !? Both sides of white population love to thrash him.. Racism is the only thing both sides supporters agree..,,,,,1,1
604,David Devilliers,Ethics come after cash ðŸ’¸ ðŸ’°,,,,,1,1
605,wellifthemediasaysit,WEF....WORLD ECONOMIC FORUM!    LOOK IT UP!,,,,1,,1
606,wellifthemediasaysit,"Unelected billionaire immigrant WEF puppet, reads off a screen, what someone else wrote for him to say!  Phew!   I have full faith in him!",,,1,,,1
607,K M G De Mortimer McIntosh,The only promis he should give is a general election,,,,1,,1
608,Speak Truth,Every citizen need a PM like Mr.Sunak to lead country in most difficult times. I believe he will deliver on his promises in short time.,,,1,,,1
609,Eugene Noonan,ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,1,,,,,0
610,Paul M,He is like a robot.,,,,,1,1
611,Crash bandicoot XO,"At least rishi is trying , he needs to undo some of the damage and leave the public with a good long lasting impression as labour will be in charge next year . ðŸ‡¬ðŸ‡§",1,,,,,0
612,Bat Noir,Undo some damage that he caused as part of boris&#39; government? That&#39;s like expecting the bank robbers to undo the banks being robbed.,1,,,,,0
613,Steveâ€¦â€¦â€¦UK,ðŸ˜‚,,,,1,,1
614,dr eggy,@Bat Noir like the lockdowns that the opposition wanted extending and stricter ...........,,,,,1,1
615,Crash bandicoot XO,"@Bat Noir yes the damage that he and the Conservative party caused , absolute disasters.",1,,,,,0
616,Lena Wagenfuehr,@Bat Noir ðŸ‘,1,,,,,0
617,jock wilson,The unelected wef puppet,1,,,,,0
618,windy miller,He talked a  lot but didn&#39;t say anything.,,,,1,,1
619,witless wonder the 2nd,Windy Miller itâ€™s called word salad,1,,,,,0
620,ðŸ’œ-Raven-ðŸ’œ,"If heâ€™s got nothing to say, keep his mouth sealed.",,,,,1,1
621,Duncan,Berk,1,,,,,0
622,NÃˆLLEKE ðŸŽ¥,ðŸ™Œ Amazing ðŸ˜ðŸ¤ŸðŸ‡¬ðŸ‡§â¤ï¸Make Britain Great again â€¼ï¸â¤ï¸,,,,,1,1
623,Paul Fulton,ðŸ¤£ðŸ¤£ðŸ¤£,1,,,,,0
624,p cozzy,Rashid sanook chatting more pony ðŸ’©,,,,1,,1
625,Majestic Heath,General election please. 12 years of idiots.,1,,,,,0
626,pip,Don&#39;t believe a word of it neither will the electorate no substance just waffle. And a pulse oxomiter isn&#39;t a treatment it&#39;s a measurement tool.,1,,,,,0
627,Tim,The Tories have singlehandedly destroyed the NHS ;it&#39;s a plan long in the making. Shame on them.,,,,,1,1
628,Michael Felstead,maths......so he can calculate the % defecit in the poll that doesn&#39;t even get him and the tories into being the opposition.....hopefully next GE Labour win and reform opposition...amen,,,,1,,1
629,Johnathan Doe,We need to hold a general strike for a general election.,1,,,,,0
630,Zig,Just a mate bounced in as PM. He was responsible for Â£450 bn money printing which gave us inflation.  He was a major figure in a cabinet which allowed millions of immigrants in to the land in spite of democratic wishes of the people.  This man should be in prison for crimes against democracy never mind negligence.,1,,,,,0
631,Be Real,ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ as someone waiting for nhs op and treatment I&#39;d be very happy to see them all in prison as they should be,,,,,1,1
632,Jaruvan Maekwong,Well &quot;&quot; should I believe this ðŸ¤”,1,,,,,0
633,Kristofor Learmonth,Good luck to him..,,,1,,,1
634,pA,The primary minister. The king is the real leader,,,,,1,1
635,Sparkiegaz,"Iâ€™m fed up with all the promises,,,unfortunately labour. Canâ€™t offer any real solutionsâ€¦..Canada here I come",,,1,,,1
636,Pork Hunt,CANADA!!ðŸ˜†,1,,,,,0
637,matty506,Is he blind to the real world? He talks like a massive bellend.,1,,,,,0
638,Natty,"Britain&#39;s history means alot and what it means to our country. Its the migrants claiming all our benefits so people have to struggle and put prices up for more benefits for migrants,we all England and should stop them coming up no one in there own country should struggle. And we do. We need to stop migrants, more police on the streets give us our country back ðŸ‡¬ðŸ‡§",,1,,,,0
639,Aisling MCdonald,"WEF goal, ey!!",1,,,,,0
640,Ali Hassan,He is fake prime Minister.,,,1,,,1
641,Aisling MCdonald,A society that values family?????,,,,1,,1
642,KG,Clearly his speech-writer pulled that from opinion polls...,1,,,,,0
643,Siad Ali,New thinking about time someone doing the correct thing,,,,1,,1
644,PsytanicA,"Out of touch, out of mind, and out of credibility are the Tories, and all other opposition parties. The UK deserves much better than whatever this is going forward.",1,,,,,0
645,Pat Baker,The government would have a lot more money if they closed tax loopholes. The tories wouldn&#39;t want to upset their mates though.,,1,,,,0
646,Gary Mapes,"I&#39;m afraid whatever the Tories say now, it&#39;s far far too late...it really is.",,,,,1,1
647,John XXX,WeÂ´re stuffed !,,,,,1,1
648,Kevin Scott,Too little too late,1,,,,,0
649,ANUSREE TV,Great leader ðŸ‘ðŸ»,,,1,,,1
650,Brian Heffernan,What a lier...,1,,,,,0
651,Aisling MCdonald,What bull!!,1,,,,,0
652,AstralMimi,"Get stuffed, More Tory mouth flapping. Look for actions not words.",,,,,1,1
653,Seeking Enlightenment,"Reminded me of the Sesame Street chef at the top of the stairs - &quot;FIVE ..... NATIONAL ..... PRIORITIES !&quot; - then falls down the stairs. 
<br>So is the halving of inflation pledge, the excuse he needs to not give public service pay increases ? Remember there are so many things that impact inflation like the Ukraine war, which he can&#39;t influence.",,1,,,,0
654,wolf pack,There are some hot farts spinning in the tumble dryer at the moment. Will they stay hot when the program stops or will they just cool off like everything else? Questions over questions.,1,,,,,0
655,nicholas dawson,What a load of rubbishâ€¦..more chance seeing the tooth fair,,,,,1,1
656,Pastasauce,Two years with this idiot. So depressing ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,,,,,1,1
657,Sue Chapman,Don&#39;t believe a single word he&#39;s saying. I can&#39;t get a doctor&#39;s appointment. I&#39;ve not seen my neurologist for 3 years. NHS is already broken.,,,,1,,1
658,Lena Wagenfuehr,ðŸ˜³ that&#39;s horrible. And no one has an answer for the sick going untreated.,,,1,,,1
659,James Owen,Another criminal leader of the tory party. Could never tell the truth and never will. Needs to remember it&#39;s our money  not his,,,,1,,1
660,roders70,"Lies, lies ,lies!!!!!  I don&#39;t understand how he can stand there and highlight all the terrible issues in this country and then just say what they are going to do. They do nothing apart from enriching their own bank accounts. How long can this go on for people?? We really need to save this country from these people before there is nothing left.",,,1,,,1
661,Paul Denison,"Until gets the energy prices down he is talking crap as for his promises on the NHS, they have in theory being doing that for years so why the bed and shortages are happening now is anyones guess.",1,,,,,0
662,Aisling MCdonald,Balblair bla!!,,,,,1,1
663,Siad Ali,What a truly amazing person bringing the country together for a greater future he&#39;s got my vote ðŸ—³,1,,,,,0
664,MATRIX,ðŸ’¤,1,,,,,0
665,James Hubbard,ðŸ…›ï¸ŽðŸ…œï¸ŽðŸ…ï¸ŽðŸ…žï¸Ž,,,,1,,1
666,Celtic Owl,He should borrow more to invest in new small businesses,,,,,1,1
667,Kevin Scott,The nurses do a better job than MPs this country has been eroded by the Toryâ€™s come on Rishi call a general election,1,,,,,0
668,Steven Hoenig,Didn&#39;t this moron break the golden rule by getting wasted and partying during the pandemic?,1,,,,,0
669,Pratik Singh,Every single country in the world is suffering the aftermath of covid and putinâ€™s war. Letâ€™s try to build back rather than negativity and giving up!,1,,,,,0
670,Nicholas Smith,Weâ€™re also suffering the aftermath and â€˜currentmathâ€™ of Tories being in charge.,,,,1,,1
671,Luke Hutchings,Give your head a wobble lad... bit gullible eh?,1,,,,,0
672,Eugene Noonan,BREXIT.,,,,,1,1
673,paul michael richardson,behave pal all by design,1,,,,,0
674,SuperRJ80,Stop using your bias,,,,,1,1
675,Michael Felstead,@SuperRJ80 is there an echo in here ?,1,,,,,0
676,Be Real,"Ur saying that because he is brown, stop being a mug",,,,1,,1
677,aj hawkins spike,mr sunak dude me and my whole family and the numtum world drynites gang and all their friends  are moving to london in the UK this year because it&#39;s 2023,1,,,,,0
678,PoppaKrunch,7 minutes is all i could stand of listening to this lying turd expunge bullox,1,,,,,0
679,House Boy,I am already sick of this curry! Bring Boris back! more for Da underclasse!,,,,,1,1
680,Adam Fisher,guys a c*nt,,,,1,,1
681,Anig,Judge the Tories on the results of the last 13 years. And still promising to fix it ðŸ˜‚,1,,,,,0
682,atommachine,"Your format has used up it&#39;s power and people will , i believe when enlightened refuse your CDC . Find a Guru and learn transparency.",1,,,,,0
683,Andrew Clarke,Meaningless words and promises he will never deliver.  Gave up listening to anything this government has to say 12 months ago.,,,,,1,1
684,Amanda Jane,Can we just give him a chance. Yes his wife is rich but leave his personal life out of it. Heâ€™s got yrs of clean up after previous PM to put right and itâ€™s going to take time.  Rail were offered 14% but turned it down. My first house I bought interest rate was 14.5% things needs to level out. Just him him a chance.,1,,,,,0
685,Paul nicholls,"14%  not offered but keep on believing the lies , just one point  MP 28% riase  in pay 13 weeks off, nurse - 10%",,,1,,,1
686,Denis Albo,Exactly make uk like IndiaðŸ˜‚,,,,,1,1
687,ANUSREE TV,Good for uk,,,1,,,1
688,deborah maycock,Who cares about bloody India..,1,,,,,0
689,deborah maycock,"Yeah turn our country into a third world country like them ,remember his family are from India and they don&#39;t have the same beliefs and living like the British. Church Hill and others built this country only to have a man like this to ruin it ..Next general election",1,,,,,0
690,Denis Albo,"@deborah maycock this government will remain the shame of the United Kingdom, I wish the English to appoint an English prime minister, it is a shame to be governed by Indians",,1,,,,0
691,robert mcdonald,Just meaningless drivel. Just empty words.,1,,,,,0
692,Project WaterLily,oh no he said &#39;pledges&#39;.... that will mean he&#39;ll do nothing.....,,,1,,,1
693,Terasci,Anyone else smell the BS!,,,,1,,1
694,6326893,"What a load of bollocks, stop illegal immigration Now,  so all that money could go in the NHS, stop sending all our money to war in Ukraine, vote Reform, he&#39;s only doing this because  he knows people are ready to riot, and vote Reform",1,,,,,0
695,john p,Iâ€™d never be legitimately worried about anything either if Iâ€™d married someone worth Â£750m,,,,1,,1
696,J hardy,Sounds like jealousy ðŸ˜‚,1,,,,,0
697,Your Mum,Another pm we didnâ€™t vote for thought this was a democracy,,1,,,,0
698,dr eggy,@Your Mum if he stops the boats ....who cares  the elected won&#39;t stop them.,,,1,,,1
699,trixos,optimism for days!,,,,,1,1
700,anon ymous,Money only covers up the cracks like polyfilla.. try hugs and a smile .. its free,,1,,,,0
701,anon ymous,Money only covers up the cracks like polyfilla.. try hugs and a smile .. its free,,1,,,,0
702,Your Mum,@dr eggy never going to happen mate all talk Iâ€™ll believe it when I see,,1,,,,0
703,perhaps,"@J hardy Yes of course were jealous(a better word would be bitter), our bills just doubled, inflation is on the rise and the NHS is crumbling. This guy hasn&#39;t felt any of that, not a single MP knows what its like, labour or tory. I love my dad but itd be nice if he was one of the richest men in India. I say all this to say why is it an insult, jealousy isn&#39;t a good emotion but there is not a human on earth above it, its pretty hard not to be when your struggling",1,,,,,0
704,Michael Felstead,@J hardy and how could any of us be &quot;jealous&quot; when we have trickle down economics preventing the unequal distribution of wealth....remember...we are all in this together....apart from those of us that are already ok and are out of it,,,,,1,1
705,Michael Felstead,@David Franks Sunak 2024...&quot;here&#39;s your bowl of gruel....remember striking is illegal now......Tractor production is up 24%&quot;,,,,,1,1
706,Ever Ready,When Sunak says he will halve inflation remember that&#39;s not bringing down prices..... that&#39;s prices going up halve the amount again!!!!,,,,1,,1
707,Ever Ready,Halve inflation whilst holding fast to sanctions on Russia that Europe cannot afford,,,1,,,1
708,breadbreaker500,I wonder what King Charles thinks when he meets a PM heâ€™s poorer than!,,,,1,,1
709,Jayon Brown,Maybe we&#39;ll be there one day if we work as hard as him!,,,1,,,1
710,Biscuit Dunker,@Jayon Brown love ya sarcasm,1,,,,,0
711,Jayon Brown,@Biscuit Dunker sarcasm?,,,,,1,1
712,Fernando Heminway Reed,"I love UK from the bottom of my soul, looking at an Indian delivering speech to England.... in a superb  mix of north American and  English  style  language<br>I guess that Really Sir Winston Churchill must be jumping in his grave.",1,,,,,0
713,Scoyserney,What cos Churchill was a massive racist?,1,,,,,0
714,ds1868,Sir Robert Walpole the Duke of Wellington William Gladstone David Lloyd George Sir Winston Churchill all spinning in their graves.,,,,1,,1
715,Viza Vidz,"A failed society, will only get worse",,,,,1,1
716,Mr Luwin,Wow extremely racistâ€¦,1,,,,,0
717,DR. HARAN Sivasambu,British prime ministers delivering the speech to the British people<br>Vincent Churchill  did horrendous crime  too humanity in India (the fact and the truth if any soul Departed  will take next birth according to the good and bad karma only few soul able to reunite with supreme Bliss no more birth and dead and rebirth and suffering)<br>So that horrible bad Karma soul Churchill born / Born again in somewhere in the City slums and suffering,1,,,,,0
